Name,Student_ID,Password,Department,Sem1_Maths,Sem1_Physics,Sem1_Chemistry,Sem1_Programming,Sem1_English,Sem1_Avg,Sem2_Discrete_Math,Sem2_Electronics,Sem2_Data_Structures,Sem2_Communication,Sem2_Environmental_Sci,Sem2_Avg,Sem3_OOP,Sem3_DBMS,Sem3_DSA,Sem3_Digital_Logic,Sem3_Operating_System,Sem3_Avg,Sem4_Microprocessor,Sem4_Software_Engg,Sem4_Computer_Networks,Sem4_Theory_of_Comp,Sem4_Statistics,Sem4_Avg,Sem5_AI,Sem5_Machine_Learning,Sem5_Computer_Graphics,Sem5_Embedded_Systems,Sem5_Control_Systems,Sem5_Avg,Sem6_Deep_Learning,Sem6_Data_Mining,Sem6_Cloud_Computing,Sem6_IOT,Sem6_Compiler_Design,Sem6_Avg,Sem7_Big_Data,Sem7_Cyber_Security,Sem7_Project,Sem7_Research_Methods,Sem7_Internship,Sem7_Avg,GPA,Average_Attendance,Assignments_Submitted,LMS_Activity,Participation,Interest_in_Sports,Culture_Engagement,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average_Attendance
Student_011,STU011,PW0011,MECH,95,80,70,90,42,75.4,50,79,50,40,96,63,91,40,64,90,84,73.8,51,56,42,92,40,56.2,88,91,59,89,65,78.4,44,47,56,50,58,51,70,92,77,56,98,78.6,68.06,78,44,68,65,Medium,Active,77,88,68,72,87,75,70,89,60,92,94,67,80
Student_012,STU012,PW0012,MECH,49,42,85,51,98,65,98,96,72,79,48,78.6,63,76,58,89,97,76.6,59,84,43,54,66,61.2,80,90,50,60,89,73.8,68,57,45,70,94,66.8,45,85,79,64,62,67,69.86,75,46,85,56,High,Low,92,78,78,82,99,65,65,86,85,87,64,72,80.41666667
Student_013,STU013,PW0013,CIVIL,70,44,67,70,94,69,99,57,98,64,66,76.8,84,70,90,61,85,78,70,44,58,98,98,73.6,96,53,48,96,41,66.8,99,98,76,45,74,78.4,71,91,53,75,62,70.4,73.29,76,35,66,54,Low,Low,89,88,83,76,83,60,95,85,61,69,89,72,73.58333333
Student_014,STU014,PW0014,ECE,70,60,87,78,75,74,55,43,89,93,68,69.6,72,44,75,95,43,65.8,44,45,41,98,65,58.6,54,55,40,74,73,59.2,49,46,67,95,40,59.4,88,94,82,50,45,71.8,65.49,91,44,92,98,Medium,Moderate,81,65,93,80,76,91,87,64,87,97,83,84,76.08333333
Student_015,STU015,PW0015,CSE,51,94,86,73,99,80.6,55,95,63,94,93,80,71,58,96,66,64,71,56,42,99,88,42,65.4,94,40,58,89,86,73.4,89,83,80,58,68,75.6,86,55,40,49,59,57.8,71.97,96,31,60,82,Medium,Moderate,94,90,63,62,79,80,62,71,94,70,87,68,81
Student_016,STU016,PW0016,CSE,62,51,85,44,42,56.8,90,97,76,65,86,82.8,46,90,71,62,97,73.2,83,66,74,58,62,68.6,71,48,97,89,58,72.6,41,70,93,77,59,68,89,53,61,58,55,63.2,69.31,80,40,93,87,Medium,Active,72,87,80,64,68,72,91,98,82,93,99,61,71.5
Student_017,STU017,PW0017,ECE,60,43,58,93,49,60.6,85,86,48,90,40,69.8,93,76,50,81,90,78,89,47,97,87,87,81.4,75,55,59,73,87,69.8,58,66,45,52,92,62.6,54,55,77,81,97,72.8,70.71,75,47,95,53,Low,Moderate,60,77,74,82,62,76,79,85,92,65,67,82,72.33333333
Student_018,STU018,PW0018,EEE,93,54,52,90,69,71.6,98,69,89,77,78,82.2,97,60,73,74,88,78.4,87,81,60,94,84,81.2,97,66,63,70,89,77,71,59,91,94,92,81.4,80,71,61,82,58,70.4,77.46,74,44,73,59,Low,Moderate,74,90,68,63,65,98,76,66,75,88,71,80,67
Student_019,STU019,PW0019,CIVIL,88,83,87,92,95,89,46,74,84,98,89,78.2,83,71,68,95,68,77,53,57,65,66,42,56.6,66,52,94,89,40,68.2,84,97,72,90,61,80.8,48,88,66,91,71,72.8,74.66,70,40,67,58,Low,Active,89,63,76,83,71,72,91,93,78,85,99,67,74.91666667
Student_020,STU020,PW0020,MECH,50,59,84,68,54,63,98,56,48,89,56,69.4,63,81,44,91,90,73.8,63,89,52,85,45,66.8,42,97,51,94,62,69.2,94,49,89,89,92,82.6,59,59,47,53,88,61.2,69.43,77,28,87,71,Medium,Active,94,61,84,99,97,92,60,93,90,78,99,98,73.5
Student_021,STU021,PW0021,CIVIL,84,75,42,57,90,69.6,43,99,50,49,66,61.4,66,91,83,98,79,83.4,74,71,64,68,56,66.6,63,75,70,82,68,71.6,79,44,92,99,53,73.4,74,96,84,65,66,77,71.86,89,48,73,94,High,Low,67,77,91,72,98,86,98,62,88,63,68,95,72.5
Student_022,STU022,PW0022,MECH,83,48,64,86,87,73.6,75,59,58,85,66,68.6,69,47,99,54,58,65.4,96,40,54,56,48,58.8,56,65,64,42,65,58.4,68,56,57,40,48,53.8,43,79,63,68,70,64.6,63.31,73,29,99,70,Medium,Low,64,65,99,92,90,85,65,90,75,80,86,71,67
Student_023,STU023,PW0023,EEE,94,41,67,94,92,77.6,69,56,49,97,67,67.6,45,48,64,59,96,62.4,77,95,92,76,78,83.6,78,79,64,42,84,69.4,65,94,62,83,99,80.6,82,58,73,53,78,68.8,72.86,78,23,98,87,Medium,Low,79,96,85,64,75,76,76,96,97,61,86,87,76.66666667
Student_024,STU024,PW0024,MECH,73,78,71,92,71,77,66,63,81,48,45,60.6,62,98,74,58,62,70.8,55,62,77,97,72,72.6,54,89,49,86,76,70.8,73,68,85,75,72,74.6,54,74,77,49,69,64.6,70.14,87,45,62,97,Medium,Active,66,84,93,99,90,80,74,69,71,92,96,64,70.66666667
Student_025,STU025,PW0025,ECE,62,94,86,69,94,81,57,45,94,67,73,67.2,86,41,89,48,96,72,95,74,58,52,47,65.2,52,82,44,45,51,54.8,96,61,56,51,45,61.8,77,87,63,73,51,70.2,67.46,85,45,87,61,Medium,Active,67,71,99,73,69,65,63,66,65,97,64,73,70.41666667
Student_026,STU026,PW0026,CIVIL,58,62,45,57,65,57.4,46,57,90,76,68,67.4,48,84,57,55,97,68.2,43,75,44,69,60,58.2,88,85,48,86,79,77.2,65,62,76,52,61,63.2,48,99,81,65,92,77,66.94,95,44,77,67,High,Low,63,90,86,77,95,95,80,99,83,94,76,65,71.16666667
Student_027,STU027,PW0027,CSE,62,90,56,60,66,66.8,52,69,60,94,92,73.4,93,88,95,53,70,79.8,94,51,80,51,49,65,86,44,78,93,67,73.6,60,48,52,52,66,55.6,58,68,68,47,56,59.4,67.66,87,32,74,53,High,Moderate,67,72,64,89,83,97,71,67,98,88,60,94,68.75
Student_028,STU028,PW0028,CIVIL,86,54,49,79,58,65.2,52,97,53,87,53,68.4,49,63,86,51,99,69.6,41,58,88,59,96,68.4,43,43,43,75,85,57.8,81,99,82,99,78,87.8,74,41,86,78,88,73.4,70.09,96,42,71,55,Low,Moderate,99,98,92,74,95,75,87,92,60,84,95,90,78.25
Student_029,STU029,PW0029,EEE,56,71,73,49,75,64.8,97,47,45,86,54,65.8,61,54,69,98,90,74.4,64,52,72,76,46,62,90,81,57,73,88,77.8,47,71,64,74,64,64,67,77,85,91,52,74.4,69.03,73,28,81,68,Medium,Active,88,68,84,78,77,93,98,69,90,99,85,60,80
Student_030,STU030,PW0030,MECH,76,50,90,57,75,69.6,46,90,41,48,68,58.6,84,59,93,99,50,77,58,78,46,52,63,59.4,66,54,79,60,44,60.6,73,42,90,90,98,78.6,85,48,80,67,46,65.2,67,71,45,81,54,Low,Low,69,66,68,92,72,79,85,71,79,81,66,81,75.83333333
Student_031,STU031,PW0031,CSE,83,97,40,93,87,80,55,66,94,90,63,73.6,49,98,82,76,55,72,84,67,40,66,72,65.8,59,90,95,79,59,76.4,84,43,50,94,89,72,82,54,67,98,43,68.8,72.66,91,41,86,63,Medium,Active,81,91,99,88,60,96,69,83,70,67,78,76,70.33333333
Student_032,STU032,PW0032,CSE,70,82,41,91,87,74.2,60,49,97,63,41,62,64,96,95,87,59,80.2,86,77,64,65,83,75,77,43,87,80,61,69.6,60,65,89,87,48,69.8,70,42,52,86,74,64.8,70.8,82,36,98,53,High,Active,68,93,91,74,91,96,67,85,76,68,76,92,78.25
Student_033,STU033,PW0033,EEE,83,63,42,96,52,67.2,72,95,86,93,69,83,91,63,70,98,69,78.2,56,65,50,89,63,64.6,80,60,58,65,57,64,40,82,41,85,93,68.2,56,74,48,69,49,59.2,69.2,74,35,74,54,Medium,Low,81,79,91,66,83,61,64,86,76,60,78,77,73.25
Student_034,STU034,PW0034,CIVIL,45,81,72,99,75,74.4,43,94,65,75,54,66.2,89,69,41,90,70,71.8,59,87,46,90,58,68,71,61,83,47,89,70.2,47,77,40,46,68,55.6,89,43,74,89,96,78.2,69.2,89,36,75,98,Low,Active,72,73,91,92,91,95,88,86,83,73,65,88,73.25
Student_035,STU035,PW0035,ECE,46,81,45,56,72,60,47,85,67,81,76,71.2,50,86,41,87,80,68.8,67,50,95,47,75,66.8,72,41,82,88,53,67.2,56,83,47,98,82,73.2,41,99,83,84,88,79,69.46,86,29,63,95,Medium,Low,94,92,96,75,88,74,71,65,99,98,98,84,68.08333333
Student_036,STU036,PW0036,CIVIL,58,46,69,84,98,71,81,63,49,88,99,76,54,96,68,78,61,71.4,66,87,59,55,79,69.2,93,65,95,60,68,76.2,61,70,91,81,99,80.4,82,87,52,95,79,79,74.74,74,30,96,64,Medium,Low,71,95,71,76,89,89,91,70,75,67,85,67,77.33333333
Student_037,STU037,PW0037,CIVIL,68,77,60,77,62,68.8,53,99,65,73,91,76.2,98,65,55,80,44,68.4,64,58,42,41,83,57.6,58,61,47,69,63,59.6,83,52,94,75,94,79.6,91,86,42,40,67,65.2,67.91,90,42,63,54,Medium,Low,72,88,84,95,70,97,77,83,82,83,99,60,76.16666667
Student_038,STU038,PW0038,MECH,76,45,46,78,56,60.2,49,65,99,59,51,64.6,66,68,55,47,67,60.6,70,51,40,60,50,54.2,71,45,64,52,87,63.8,77,40,75,88,49,65.8,87,98,91,96,69,88.2,65.34,93,28,74,60,Low,Low,72,89,85,63,75,86,61,81,89,83,69,84,75.91666667
Student_039,STU039,PW0039,ECE,96,88,55,70,61,74,64,95,91,78,49,75.4,72,64,79,83,82,76,61,45,55,44,95,60,71,97,70,85,80,80.6,81,55,70,74,60,68,60,87,54,65,55,64.2,71.17,82,23,88,72,High,Low,96,73,60,70,95,90,85,70,66,88,95,81,74.25
Student_040,STU040,PW0040,MECH,62,95,80,79,72,77.6,67,87,68,42,52,63.2,66,64,76,92,90,77.6,51,46,88,56,93,66.8,53,59,89,43,59,60.6,55,83,61,92,97,77.6,54,99,96,96,56,80.2,71.94,98,32,62,87,High,Moderate,90,87,70,99,79,73,81,75,74,96,92,84,79.91666667
Student_041,STU041,PW0041,MECH,85,70,97,71,72,79,53,98,42,46,51,58,78,40,47,69,91,65,86,75,93,97,96,89.4,85,90,59,87,72,78.6,66,81,60,44,52,60.6,93,99,77,92,40,80.2,72.97,82,49,65,89,Medium,Low,67,88,94,98,70,66,73,79,75,66,85,72,76.41666667
Student_042,STU042,PW0042,EEE,47,60,66,96,57,65.2,80,43,75,87,80,73,48,51,66,96,45,61.2,52,58,43,87,99,67.8,94,87,68,84,95,85.6,79,59,71,91,51,70.2,47,66,73,85,67,67.6,70.09,70,22,69,66,Medium,Moderate,83,90,98,69,87,92,83,84,68,70,99,75,74.33333333
Student_043,STU043,PW0043,CIVIL,96,66,50,65,56,66.6,67,84,87,44,74,71.2,74,52,75,72,50,64.6,47,65,92,89,90,76.6,83,71,60,84,92,78,89,88,71,72,72,78.4,98,46,76,62,96,75.6,73,85,22,82,95,Low,Moderate,68,82,63,99,72,76,88,87,88,79,97,89,84.5
Student_044,STU044,PW0044,CSE,47,45,43,59,58,50.4,67,42,52,85,90,67.2,58,65,43,52,53,54.2,76,76,91,67,72,76.4,46,44,43,77,61,54.2,48,53,91,71,48,62.2,83,83,50,70,65,70.2,62.11,90,42,75,71,Low,Low,87,60,66,73,70,69,67,71,71,63,72,93,76.66666667
Student_045,STU045,PW0045,EEE,98,70,65,72,89,78.8,47,96,90,43,46,64.4,55,41,81,64,84,65,42,43,48,86,62,56.2,78,88,87,55,67,75,52,82,78,81,44,67.4,95,91,65,69,55,75,68.83,93,29,65,70,High,Active,71,74,98,97,96,77,79,68,87,93,92,66,75.25
Student_046,STU046,PW0046,CSE,67,66,57,94,72,71.2,62,46,55,44,75,56.4,43,51,97,44,61,59.2,89,51,68,98,46,70.4,89,72,78,52,52,68.6,91,57,44,57,76,65,48,63,89,79,78,71.4,66.03,96,22,76,61,Medium,Low,75,69,64,68,91,73,82,86,75,70,66,73,78
Student_047,STU047,PW0047,CIVIL,61,92,52,55,49,61.8,42,68,43,94,74,64.2,74,93,93,72,40,74.4,69,50,91,95,43,69.6,56,52,69,74,86,67.4,81,53,53,62,49,59.6,85,87,49,56,52,65.8,66.11,76,48,73,86,Medium,Moderate,98,80,60,98,62,90,74,95,80,86,93,76,80.83333333
Student_048,STU048,PW0048,CIVIL,92,98,61,83,96,86,59,48,79,40,90,63.2,78,55,43,89,92,71.4,93,69,95,77,61,79,85,65,58,57,59,64.8,91,48,63,76,69,69.4,89,60,92,91,98,86,74.26,98,30,84,76,Low,Moderate,64,74,90,69,86,86,90,72,68,99,94,72,82.08333333
Student_049,STU049,PW0049,CIVIL,74,44,84,83,55,68,73,59,56,61,89,67.6,53,44,40,75,67,55.8,70,41,79,81,54,65,84,62,78,52,47,64.6,45,94,73,54,63,65.8,92,48,98,68,91,79.4,66.6,89,46,90,77,Low,Moderate,93,85,65,91,83,93,74,73,72,86,73,78,69.33333333
Student_050,STU050,PW0050,CIVIL,59,62,48,89,94,70.4,90,71,99,66,43,73.8,47,95,53,52,89,67.2,73,45,42,89,79,65.6,95,54,69,78,83,75.8,43,89,97,44,73,69.2,64,68,59,92,82,73,70.71,70,47,90,97,High,Moderate,87,69,97,79,81,73,80,75,96,99,90,69,67.91666667
Student_051,STU051,PW0051,ECE,81,59,70,51,45,61.2,74,62,97,74,63,74,51,84,57,58,52,60.4,93,57,43,45,87,65,99,43,86,80,68,75.2,66,56,58,85,91,71.2,66,62,97,97,77,79.8,69.54,91,21,96,74,Medium,Low,99,93,83,60,62,82,65,77,81,96,99,77,82.75
Student_052,STU052,PW0052,MECH,47,74,96,79,55,70.2,43,93,81,81,49,69.4,47,81,47,57,67,59.8,53,93,40,42,61,57.8,90,62,84,95,52,76.6,55,43,91,46,63,59.6,48,53,83,54,96,66.8,65.74,99,26,66,54,High,Low,64,91,84,76,87,66,86,64,93,93,68,62,66.66666667
Student_053,STU053,PW0053,MECH,66,96,51,80,90,76.6,65,48,86,47,85,66.2,91,40,64,58,45,59.6,84,74,77,49,53,67.4,59,53,90,72,86,72,90,64,83,61,50,69.6,43,85,54,91,97,74,69.34,94,37,61,85,Medium,Moderate,87,82,71,96,95,69,93,89,60,80,87,72,73.41666667
Student_054,STU054,PW0054,ECE,65,73,99,92,53,76.4,60,76,71,51,56,62.8,70,62,93,89,67,76.2,56,67,90,92,62,73.4,56,68,57,87,61,65.8,74,97,51,54,67,68.6,57,61,60,99,75,70.4,70.51,97,37,62,77,Medium,Low,77,82,64,89,86,90,70,89,96,76,84,93,71.25
Student_055,STU055,PW0055,ECE,73,84,98,84,89,85.6,93,76,55,48,45,63.4,72,63,55,86,90,73.2,59,92,66,46,84,69.4,54,89,99,98,43,76.6,65,71,42,81,51,62,41,54,56,53,59,52.6,68.97,71,38,94,64,High,Low,64,81,64,99,70,88,86,97,82,61,66,77,69.83333333
Student_056,STU056,PW0056,CIVIL,75,46,92,66,57,67.2,97,60,71,45,43,63.2,98,51,76,68,88,76.2,71,99,81,53,83,77.4,52,47,68,97,96,72,92,60,91,52,49,68.8,70,57,47,40,70,56.8,68.8,86,25,94,84,Medium,Low,82,97,84,72,88,84,97,99,93,77,88,92,75.33333333
Student_057,STU057,PW0057,MECH,83,83,99,71,51,77.4,79,45,96,61,50,66.2,99,91,59,87,69,81,45,79,85,93,96,79.6,82,69,80,51,70,70.4,90,60,60,85,56,70.2,40,82,69,92,62,69,73.4,89,32,61,69,High,Active,80,76,92,73,73,67,74,65,79,86,80,86,80.75
Student_058,STU058,PW0058,CSE,70,52,97,42,56,63.4,57,59,65,47,55,56.6,89,43,61,68,97,71.6,93,76,83,48,92,78.4,51,73,81,84,48,67.4,93,98,89,80,44,80.8,80,85,63,94,77,79.8,71.14,87,45,97,51,Low,Moderate,66,94,78,75,89,74,89,67,69,67,85,92,76.41666667
Student_059,STU059,PW0059,ECE,95,88,92,78,45,79.6,45,67,74,61,42,57.8,90,73,88,50,88,77.8,71,54,94,87,87,78.6,81,96,76,74,92,83.8,43,70,95,55,47,62,93,62,42,88,58,68.6,72.6,73,24,81,73,Medium,Active,77,90,65,64,81,91,98,96,72,80,60,88,72
Student_060,STU060,PW0060,ECE,47,87,79,47,84,68.8,54,54,99,47,70,64.8,75,43,69,41,97,65,76,85,46,94,84,77,55,70,90,79,62,71.2,82,84,57,85,64,74.4,67,98,63,79,53,72,70.46,87,24,68,65,Low,Moderate,62,95,63,97,89,72,62,99,87,98,65,65,75
Student_061,STU061,PW0061,EEE,84,66,50,42,62,60.8,98,96,53,99,62,81.6,44,81,68,96,99,77.6,64,75,81,92,97,81.8,72,56,40,91,62,64.2,56,71,54,46,45,54.4,65,45,55,86,80,66.2,69.51,88,49,92,85,High,Low,79,74,70,99,80,86,91,90,82,83,71,77,78.41666667
Student_062,STU062,PW0062,EEE,86,55,63,87,44,67,61,83,48,96,96,76.8,52,44,73,76,77,64.4,88,55,82,53,92,74,94,89,55,65,72,75,42,75,63,79,43,60.4,47,62,98,55,71,66.6,69.17,91,24,97,86,High,Moderate,96,75,96,63,69,91,99,67,72,91,95,87,81.08333333
Student_063,STU063,PW0063,EEE,82,64,94,66,60,73.2,64,60,86,92,53,71,64,42,78,93,43,64,90,77,90,54,60,74.2,53,60,99,93,85,78,84,88,78,71,95,83.2,69,48,77,86,56,67.2,72.97,86,43,71,53,Low,Low,92,70,64,78,79,95,91,65,65,68,88,88,74.41666667
Student_064,STU064,PW0064,ECE,80,97,68,57,55,71.4,61,45,56,71,55,57.6,46,48,55,51,67,53.4,45,65,65,84,64,64.6,60,52,40,48,72,54.4,68,69,75,73,95,76,83,46,65,86,94,74.8,64.6,96,45,62,81,High,Active,95,80,65,81,62,76,69,65,90,97,66,98,70.66666667
Student_065,STU065,PW0065,CIVIL,82,48,57,60,88,67,50,76,45,87,76,66.8,80,49,46,43,45,52.6,51,53,91,74,40,61.8,47,59,83,64,77,66,73,80,49,83,91,75.2,56,82,70,70,58,67.2,65.23,96,22,96,84,High,Low,82,76,88,82,87,62,69,79,80,96,77,86,82.33333333
Student_066,STU066,PW0066,MECH,41,94,55,42,71,60.6,99,57,58,87,84,77,57,75,65,60,87,68.8,94,41,68,72,77,70.4,67,43,75,94,44,64.6,73,56,79,64,86,71.6,71,79,59,42,62,62.6,67.94,92,46,66,64,High,Low,71,69,99,63,61,86,86,81,65,99,97,91,71.41666667
Student_067,STU067,PW0067,ECE,95,43,73,59,90,72,63,69,41,54,75,60.4,66,85,73,67,92,76.6,69,94,69,55,42,65.8,55,42,41,75,62,55,82,65,73,83,78,76.2,69,56,45,78,72,64,67.14,97,27,73,87,High,Active,79,91,68,75,66,92,72,89,88,71,61,84,72.58333333
Student_068,STU068,PW0068,EEE,98,88,81,40,47,70.8,56,99,67,46,81,69.8,87,62,70,92,68,75.8,49,60,40,98,93,68,57,42,48,51,56,50.8,70,56,54,47,86,62.6,98,89,97,63,87,86.8,69.23,78,20,71,53,High,Moderate,84,66,99,85,61,68,63,72,61,72,97,83,67.25
Student_069,STU069,PW0069,CIVIL,93,85,97,42,86,80.6,72,74,73,84,86,77.8,95,57,45,70,67,66.8,92,75,62,99,41,73.8,51,49,53,46,43,48.4,42,92,64,79,58,67,57,40,60,92,47,59.2,67.66,95,20,81,94,High,Low,86,86,63,87,98,68,86,72,82,76,86,97,76.33333333
Student_070,STU070,PW0070,ECE,56,80,54,88,77,71,54,86,73,97,57,73.4,96,63,83,59,74,75,54,83,61,82,85,73,45,79,83,48,42,59.4,52,73,67,65,63,64,92,50,72,97,94,81,70.97,93,23,96,80,Medium,Moderate,97,88,74,62,79,84,80,61,69,73,64,94,73.75
Student_071,STU071,PW0071,MECH,99,66,85,54,58,72.4,57,68,98,67,58,69.6,97,52,91,76,49,73,64,47,97,40,83,66.2,69,72,94,60,53,69.6,77,43,92,43,55,62,41,79,42,72,88,64.4,68.17,71,36,65,77,High,Low,66,88,74,90,88,63,98,62,72,88,61,77,75
Student_072,STU072,PW0072,MECH,94,48,89,50,44,65,78,67,50,58,56,61.8,94,41,58,70,87,70,78,78,80,55,90,76.2,42,41,50,81,73,57.4,53,89,40,53,82,63.4,61,78,70,69,68,69.2,66.14,99,27,90,63,High,Active,66,81,70,74,96,87,61,64,65,84,74,88,72.91666667
Student_073,STU073,PW0073,CIVIL,79,66,53,97,56,70.2,63,79,59,94,47,68.4,58,72,56,88,69,68.6,72,52,86,82,44,67.2,96,41,97,94,54,76.4,99,46,90,84,93,82.4,95,43,84,98,92,82.4,73.66,73,25,89,79,Low,Active,88,95,82,62,86,94,63,66,83,99,61,82,77.33333333
Student_074,STU074,PW0074,EEE,41,72,65,86,86,70,77,66,91,52,57,68.6,51,48,74,94,50,63.4,99,83,95,58,51,77.2,92,65,62,73,64,71.2,82,64,93,81,91,82.2,40,96,41,52,42,54.2,69.54,73,46,89,50,Medium,Low,88,80,93,94,97,77,75,81,99,69,79,96,82.5
Student_075,STU075,PW0075,ECE,58,51,65,87,49,62,82,62,90,49,67,70,63,90,41,80,62,67.2,65,70,74,73,66,69.6,88,80,73,45,86,74.4,57,56,83,49,51,59.2,84,72,40,96,54,69.2,67.37,82,24,91,53,High,Active,64,68,67,79,85,74,84,83,61,92,63,96,75.25
Student_076,STU076,PW0076,CSE,97,97,65,48,50,71.4,61,81,82,91,68,76.6,73,56,50,90,54,64.6,75,69,58,71,85,71.6,43,83,62,84,78,70,94,49,55,54,41,58.6,77,54,43,41,54,53.8,66.66,73,24,99,86,High,Moderate,87,91,78,89,92,76,60,80,75,68,87,77,74
Student_077,STU077,PW0077,MECH,46,90,99,77,92,80.8,77,58,65,65,81,69.2,77,78,71,47,58,66.2,78,57,69,78,65,69.4,58,66,66,65,63,63.6,53,49,45,98,61,61.2,97,82,46,62,65,70.4,68.69,77,35,76,75,High,Active,66,63,71,81,95,68,88,73,92,95,60,90,79.16666667
Student_078,STU078,PW0078,MECH,69,53,70,56,99,69.4,89,86,65,73,88,80.2,42,95,84,72,41,66.8,47,65,60,66,91,65.8,96,76,67,69,67,75,83,62,88,91,93,83.4,47,97,71,54,73,68.4,72.71,99,27,99,50,High,Active,78,68,93,81,74,97,71,60,75,85,86,63,81.5
Student_079,STU079,PW0079,MECH,84,42,59,51,56,58.4,71,70,97,72,58,73.6,85,99,42,41,61,65.6,65,71,47,83,95,72.2,51,93,65,61,94,72.8,53,92,49,91,73,71.6,68,75,53,85,50,66.2,68.63,99,36,97,89,High,Active,73,61,78,68,90,88,63,72,63,62,98,82,74.58333333
